run_id,condition,interface,frame_no,timestamp,src,dst,sport,dport,typeid,cot,ioa
attack_fw_only_001,attack_fw_only,DSS3GW-eth1,82,13.980204206,1.1.10.10,1.1.3.1,42654,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS3GW-eth2,64,12.847748485,1.1.10.10,1.1.3.1,42654,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS3GW-eth2,74,13.229708358,1.1.10.10,1.1.3.1,42654,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS3GW-eth2,79,13.479903071,1.1.10.10,1.1.3.1,42654,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS3GW-eth2,84,13.730066743,1.1.10.10,1.1.3.1,42654,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS3GW-eth2,89,13.980221498,1.1.10.10,1.1.3.1,42654,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS4ASW-eth1,79,14.262924177,1.1.10.10,1.1.4.1,54210,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS4ASW-eth1,85,14.513126641,1.1.10.10,1.1.4.1,54210,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS4ASW-eth1,90,14.763277938,1.1.10.10,1.1.4.1,54210,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS4ASW-eth1,98,15.013648735,1.1.10.10,1.1.4.1,54210,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS4ASW-eth1,103,15.263822907,1.1.10.10,1.1.4.1,54210,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS4ASW-eth2,78,14.262919136,1.1.10.10,1.1.4.1,54210,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS4ASW-eth2,85,14.513122392,1.1.10.10,1.1.4.1,54210,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS4ASW-eth2,90,14.763272897,1.1.10.10,1.1.4.1,54210,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS4ASW-eth2,98,15.013643194,1.1.10.10,1.1.4.1,54210,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS4ASW-eth2,103,15.263818241,1.1.10.10,1.1.4.1,54210,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS4GW-eth1,73,14.262905803,1.1.10.10,1.1.4.1,54210,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS4GW-eth1,78,14.513110766,1.1.10.10,1.1.4.1,54210,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS4GW-eth1,83,14.763259021,1.1.10.10,1.1.4.1,54210,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS4GW-eth1,91,15.013627735,1.1.10.10,1.1.4.1,54210,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS4GW-eth1,96,15.263805449,1.1.10.10,1.1.4.1,54210,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS4GW-eth2,78,14.262911178,1.1.10.10,1.1.4.1,54210,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS4GW-eth2,85,14.513115267,1.1.10.10,1.1.4.1,54210,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS4GW-eth2,90,14.763264688,1.1.10.10,1.1.4.1,54210,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS4GW-eth2,98,15.013634236,1.1.10.10,1.1.4.1,54210,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS4GW-eth2,103,15.263810283,1.1.10.10,1.1.4.1,54210,2404,46,6,5004
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,162,9.255290989,1.1.10.10,1.1.1.1,53852,2404,46,6,5000
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,170,9.505423130,1.1.10.10,1.1.1.1,53852,2404,46,6,5001
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,180,9.755554772,1.1.10.10,1.1.1.1,53852,2404,46,6,5002
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,188,10.005701372,1.1.10.10,1.1.1.1,53852,2404,46,6,5003
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,196,10.255846347,1.1.10.10,1.1.1.1,53852,2404,46,6,5004
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,223,11.025208638,1.1.10.10,1.1.2.1,43294,2404,46,6,5000
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,228,11.275386113,1.1.10.10,1.1.2.1,43294,2404,46,6,5001
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,233,11.525579088,1.1.10.10,1.1.2.1,43294,2404,46,6,5002
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,241,11.775745646,1.1.10.10,1.1.2.1,43294,2404,46,6,5003
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,252,12.025880955,1.1.10.10,1.1.2.1,43294,2404,46,6,5004
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,271,12.838052728,1.1.10.10,1.1.3.1,54246,2404,46,6,5000
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,278,13.118393731,1.1.10.10,1.1.3.1,54246,2404,46,6,5001
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,285,13.368534290,1.1.10.10,1.1.3.1,54246,2404,46,6,5002
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,290,13.618712098,1.1.10.10,1.1.3.1,54246,2404,46,6,5003
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,301,14.037868874,1.1.10.10,1.1.3.1,54246,2404,46,6,5004
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,316,14.849917939,1.1.10.10,1.1.4.1,56370,2404,46,6,5000
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,325,15.100106331,1.1.10.10,1.1.4.1,56370,2404,46,6,5001
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,330,15.350258556,1.1.10.10,1.1.4.1,56370,2404,46,6,5002
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,339,15.600438697,1.1.10.10,1.1.4.1,56370,2404,46,6,5003
attack_fw_only_002,attack_fw_only,CONTROLSW-eth3,344,15.850574381,1.1.10.10,1.1.4.1,56370,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS1ASW-eth2,44,8.742640878,1.1.10.10,1.1.1.1,53852,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS1ASW-eth2,49,8.992771811,1.1.10.10,1.1.1.1,53852,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS1ASW-eth2,56,9.242903036,1.1.10.10,1.1.1.1,53852,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS1ASW-eth2,61,9.493041636,1.1.10.10,1.1.1.1,53852,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS1ASW-eth2,66,9.743197611,1.1.10.10,1.1.1.1,53852,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS1ASW-eth3,44,8.742635170,1.1.10.10,1.1.1.1,53852,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS1ASW-eth3,49,8.992765895,1.1.10.10,1.1.1.1,53852,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS1ASW-eth3,56,9.242897786,1.1.10.10,1.1.1.1,53852,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS1ASW-eth3,61,9.493036553,1.1.10.10,1.1.1.1,53852,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS1ASW-eth3,66,9.743192486,1.1.10.10,1.1.1.1,53852,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS1GW-eth1,44,8.742622670,1.1.10.10,1.1.1.1,53852,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS1GW-eth1,49,8.992755728,1.1.10.10,1.1.1.1,53852,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS1GW-eth1,56,9.242887995,1.1.10.10,1.1.1.1,53852,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS1GW-eth1,61,9.493027011,1.1.10.10,1.1.1.1,53852,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS1GW-eth1,66,9.743182819,1.1.10.10,1.1.1.1,53852,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS1GW-eth2,44,8.742627711,1.1.10.10,1.1.1.1,53852,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS1GW-eth2,49,8.992761228,1.1.10.10,1.1.1.1,53852,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS1GW-eth2,56,9.242893245,1.1.10.10,1.1.1.1,53852,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS1GW-eth2,61,9.493032594,1.1.10.10,1.1.1.1,53852,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS1GW-eth2,66,9.743188361,1.1.10.10,1.1.1.1,53852,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS2ASW-eth2,56,11.014384601,1.1.10.10,1.1.2.1,43294,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS2ASW-eth2,61,11.264572826,1.1.10.10,1.1.2.1,43294,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS2ASW-eth2,66,11.514764218,1.1.10.10,1.1.2.1,43294,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS2ASW-eth2,71,11.764932276,1.1.10.10,1.1.2.1,43294,2404,46,6,5003
